AP-325,8.10.0.6_85938,8.10.0.12_89862,8.6.0.16_83052,8.10.0.4_85105,8.6.0.11_80920
AP-334,8.6.0.23_88342
AP-315,8.12.0.1_89794
AP-305,8.10.1.0_82938,8.6.0.16_83052
AP-535,8.11.0.0_84427
AP-335,8.6.0.16_83052
AP-515,8.6.0.16_83052
AP-345,8.6.0.16_83052
AP-505,8.10.0.6_86193
AP-555,8.7.1.6_81786
6200(JL726A),10.10.1100
Aruba2930F-24G-PoE+-4SFP+ Switch(JL255A),16.10.0020
Aruba2930F-8G-PoE+-2SFP+ Switch(JL258A),16.10.0024
Aruba2930M-24G-PoE+ Switch(JL320A),16.10.0020
Aruba3810M-24G-PoE+-1-slot Switch(JL073A),16.11.0011,16.10.0025
HP2530-48G-PoEP Switch(J9772A),16.11.0011
HP2530-8G-PoEP Switch(J9774A),16.10.0020
JL074A,16.11.000x
JL320A,16.11.000x
JL356A,16.11.000x
4100i 12G CL4/6 POE 2SFP+ DIN Sw (JL817A),10.13.1060
6000 48G CL4 4SFP Swch (R8N85A),10.13.1000,10.15.1000
6000 48G 4SFP Swch (R8N86A),10.15.0005,10.11.1060
6000 12G CL4 2SFP 139W Swch (R8N89A),10.10.1070
6100 24G 4SFP+ Swch (JL678A),10.14.1030
6100 48G CL4 4SFP+ Swch (JL675A),10.10.1070
6200F 24G 4SFP+ Swch (JL724A),10.13.1033,10.13.1020,10.14.0000
6200F 24G CL4 4SFP+370W Swch (JL725A),10.12.1000
6200F 48G CL4 4SFP+370W Swch (JL727A),10.08.1090
6300F 24G 4SFP56 Sw (JL668A),10.13.1060,10.14.0000,10.10.1070,10.08.1060,10.13.0005,10.13.1050,10.08.1090
6300M 24G 4SFP56 Swch (JL664A),10.11.1050,10.13.0001
6300M 48G CL4 PoE 4SFP56 Swch (JL661A),10.11.1070,10.12.1012
6300M 24G CL4 PoE 4SFP56 Swch (JL662A),10.10.1070
6300F 48G CL4 PoE 4SFP56 Sw (JL665A),10.12.0010
6300M 24SFP+ 4SFP56 Swch (JL658A),10.10.1070
8325 (JL636A),10.12.1000
8360-12C switch (JL721A),10.13.1050
8360-12C v2 Switch (JL721C),10.10.1130
8360-32Y4C switch (JL717A),10.14.1010
8360-16Y2C switch (JL718A),10.14.1010
8360-24XF2C switch (JL722A),10.12.1050
8325 (JL635A),10.08.1060
6100 24G CL4 4SFP+ Swch (JL677A),10.13.1040
